\seberlein.IntUser\powerfactorypy_base.IntPrj\Study Cases.IntPrjfolder\Study Case.IntCase\All calculations.ElmRes,\seberlein.IntUser\powerfactorypy_base.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\AC Voltage Source.ElmVac,\seberlein.IntUser\powerfactorypy_base.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\AC Voltage Source.ElmVac,\seberlein.IntUser\powerfactorypy_base.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\AC Voltage Source.ElmVac,\seberlein.IntUser\powerfactorypy_base.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\AC Voltage Source.ElmVac,\seberlein.IntUser\powerfactorypy_base.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\AC Voltage Source.ElmVac,\seberlein.IntUser\powerfactorypy_base.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\AC Voltage Source.ElmVac
"b:tnow in s","s:u0 in p.u.","s:Ul0 in kV","s:dphiu in rad","m:I1:bus1 in kA","m:Psum:bus1 in MW","m:Qsum:bus1 in Mvar"
-0.100000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756699
-0.090000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.080000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.070000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.060000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.050000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.040000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.030000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.020000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.010000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
-0.000000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.010000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.020000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.030000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.040000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.050000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.060000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.070000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.080000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.090000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.100000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.110000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.120000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.130000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.140000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.150000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.160000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.170000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.180000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.190000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.200000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.210000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.220000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.230000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.240000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.250000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.260000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.270000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.280000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.290000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.300000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.310000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.320000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.330000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.340000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.350000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.360000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.370000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.380000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.390000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.400000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.410000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.420000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.430000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.440000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.450000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.460000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.470000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.480000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.490000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.500000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.510000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.520000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.530000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.540000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.550000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.560000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.570000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
0.580000,1.000000,110.000000,0.000000,0.003979,0.044901,-0.756705
