TYPE,CO2 [gCO2/kWh]
Mixed,0
Fossil Brown coal/Lignite,800
Fossil Coal-derived gas,279
Fossil Gas,128
Fossil Hard coal,600
Fossil Oil,530
Fossil Oil shale,385
Fossil Peat,126
Geothermal,11
Hydro Pumped Storage,0
Hydro Run-of-river and poundage,2
Hydro Water Reservoir,6.1
Marine,0
Nuclear,5.1
Other renewable,0
Solar,8
Waste,376
Wind Offshore,12
Wind Onshore,7.8
Other,0
Biomass,8.5
