TYPE,CO2 [gCO2/kWh]
Mixed,0
Fossil Brown coal/Lignite,1300
Fossil Coal-derived gas,849
Fossil Gas,434
Fossil Hard coal,1050
Fossil Oil,900
Fossil Oil shale,385
Fossil Peat,262
Geothermal,47
Hydro Pumped Storage,0
Hydro Run-of-river and poundage,5
Hydro Water Reservoir,11
Marine,0
Nuclear,6.4
Other renewable,0
Solar,83
Waste,376
Wind Offshore,23
Wind Onshore,16
Other,0
Biomass,130
