,cash,usd_value,positions_usd,long_exposure_usd,short_exposure_usd,gross_traded_usd,gross_traded_percent,net_traded_usd,net_traded_percent,unrealized_long_pnl,unrealized_short_pnl,realized_long_pnl,realized_short_pnl,gross_exposure_usd,net_exposure_usd,gross_exposure_percent,long_exposure_percent,short_exposure_percent,net_exposure_percent,unrealized_pnl,realized_pnl,total_long_pnl,total_short_pnl,total_pnl,inception_return,previous_usd_value
2022-05-09 00:00:00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0
2022-05-10 20:00:00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0
2022-05-11 20:00:00,-40025.0,8582.7203148728,48607.7203148728,48607.7203148728,0.0,50000.0,5.0,50000.0,5.0,-1392.2796851271996,0.0,0.0,0.0,48607.7203148728,48607.7203148728,4.86077203148728,4.86077203148728,0.0,4.86077203148728,-1392.2796851271996,0.0,-1392.2796851271996,0.0,-1392.2796851271996,0.85827203148728,10000.0
2022-05-12 20:00:00,-40027.19315068493,14845.514323209456,54872.707473894385,54872.707473894385,0.0,0.0,0.0,0.0,0.0,4872.70747389439,0.0,-2.1931506849315068,0.0,54872.707473894385,54872.707473894385,6.393393406844066,6.393393406844066,0.0,6.393393406844066,4872.70747389439,-2.1931506849315068,4870.514323209459,0.0,4870.514323209459,1.4845514323209457,8582.7203148728
2022-05-13 20:00:00,-40029.3864215425,19609.81981775887,59639.20623930137,59639.20623930137,0.0,0.0,0.0,0.0,0.0,9639.20623930137,0.0,-2.1932708575717768,0.0,59639.20623930137,59639.20623930137,4.017321659651866,4.017321659651866,0.0,4.017321659651866,9639.20623930137,-2.1932708575717768,9637.012968443798,0.0,9637.012968443798,1.9609819817758871,14845.514323209456
2022-05-16 20:00:00,-40035.96659465289,15793.28973162549,55829.25632627838,55829.25632627838,0.0,0.0,0.0,0.0,0.0,5829.256326278375,0.0,-6.580173110390548,0.0,55829.25632627838,55829.25632627838,2.847005064050552,2.847005064050552,0.0,2.847005064050552,5829.256326278375,-6.580173110390548,5822.676153167985,0.0,5822.676153167985,1.5793289731625488,19609.81981775887
2022-05-17 20:00:00,-40038.16034624712,18727.803259076674,58765.96360532379,58765.96360532379,0.0,0.0,0.0,0.0,0.0,8765.963605323788,0.0,-2.193751594227556,0.0,58765.96360532379,58765.96360532379,3.720945072491584,3.720945072491584,0.0,3.720945072491584,8765.963605323788,-2.193751594227556,8763.76985372956,0.0,8763.76985372956,1.8727803259076674,15793.28973162549
2022-05-18 20:00:00,-40040.35421804691,16307.54567129336,56347.89988934027,56347.89988934027,0.0,0.0,0.0,0.0,0.0,6347.899889340258,0.0,-2.193871799794363,0.0,56347.89988934027,56347.89988934027,3.0087832037657978,3.0087832037657978,0.0,3.0087832037657978,6347.899889340258,-2.193871799794363,6345.706017540463,0.0,6345.706017540463,1.630754567129336,18727.803259076674
2022-05-19 20:00:00,-40042.548210058856,19643.02764388416,59685.57585394302,59685.57585394302,0.0,0.0,0.0,0.0,0.0,9685.575853943013,0.0,-2.193992011947776,0.0,59685.57585394302,59685.57585394302,3.6599974672466655,3.6599974672466655,0.0,3.6599974672466655,9685.575853943013,-2.193992011947776,9683.381861931066,0.0,9683.381861931066,1.9643027643884161,16307.54567129336
2022-05-20 20:00:00,-40044.742322289545,18189.835095679824,58234.57741796937,58234.57741796937,0.0,0.0,0.0,0.0,0.0,8234.577417969373,0.0,-2.1941122306881566,0.0,58234.57741796937,58234.57741796937,2.964643662561899,2.964643662561899,0.0,2.964643662561899,8234.577417969373,-2.1941122306881566,8232.383305738684,0.0,8232.383305738684,1.8189835095679823,19643.02764388416
2022-05-23 20:00:00,-83139.1342109362,18032.437626847095,101171.5718377833,101171.5718377833,0.0,43066.27605325198,2.3676012358946803,43066.27605325198,2.3676012358946803,222.3963593841801,0.0,7876.316727779084,0.0,101171.5718377833,101171.5718377833,5.561984004011782,5.561984004011782,0.0,5.561984004011782,222.3963593841801,7876.316727779084,8098.713087163264,0.0,8098.713087163264,1.8032437626847095,18189.835095679824
2022-05-24 20:00:00,-83143.68977993407,9632.625044026907,92776.31482396097,92776.31482396097,0.0,0.0,0.0,-0.0,-0.0,-8172.860654438127,0.0,7878.343856149273,0.0,92776.31482396097,92776.31482396097,5.144968015074874,5.144968015074874,0.0,5.144968015074874,-8172.860654438127,7878.343856149273,-294.51679828885426,0.0,-294.51679828885426,0.9632625044026907,18032.437626847095
